,ds,team,t,j,elo
222,1996-10-19,Toros Neza,1,11,1490.579480318901
223,1996-10-20,Atlante,1,11,1543.585796716414
224,1996-10-20,Cruz Azul,1,11,1497.6306929669665
225,1996-10-20,Santos,1,11,1533.0710326808237
226,1996-10-20,UAG,1,11,1477.7339917769596
227,1996-10-20,Pachuca,1,11,1473.7787679772748
228,1996-10-20,Puebla,1,11,1532.0102449227384
229,1996-10-25,UAG,1,12,1477.6201562024764
230,1996-10-25,Pachuca,1,12,1473.892603551758
231,1996-10-25,UNAM,1,12,1450.0523323429688
232,1996-10-25,Toluca,1,12,1527.6869090760722
233,1996-10-26,Puebla,1,12,1522.3432928633033
234,1996-10-26,Atlante,1,12,1553.252748775849
235,1996-10-26,Cruz Azul,1,12,1486.9991249323095
236,1996-10-26,Celaya,1,12,1486.290094811373
237,1996-10-26,Leon,1,12,1508.6609827936404
238,1996-10-26,Atlas,1,12,1512.939854565417
239,1996-10-27,America,1,12,1491.6516975452603
240,1996-10-27,Necaxa,1,12,1500.9697008821472
241,1996-10-27,Guadalajara,1,12,1558.9985528240275
242,1996-10-27,Monterrey,1,12,1472.6251865337983
243,1996-10-27,Toros Neza,1,12,1481.7964241034233
244,1996-10-27,Santos,1,12,1541.8540888963014
245,1996-10-28,Morelia,1,12,1458.0129953668518
246,1996-10-28,Veracruz,1,12,1494.3532539330224
247,1996-11-01,Monterrey,1,13,1483.0386658601526
248,1996-11-01,Cruz Azul,1,13,1476.5856456059553
249,1996-11-02,Atlas,1,13,1522.3278977817401
250,1996-11-02,America,1,13,1482.263654328937
251,1996-11-02,Celaya,1,13,1477.3240805745093
252,1996-11-02,Puebla,1,13,1531.309307100167
253,1996-11-02,Veracruz,1,13,1506.1927167196602
254,1996-11-02,Guadalajara,1,13,1547.1590900373897
255,1996-11-02,Toluca,1,13,1517.139845627784
256,1996-11-02,Leon,1,13,1519.2080462419285
257,1996-11-02,Necaxa,1,13,1509.7395693427814
258,1996-11-02,Morelia,1,13,1449.2431269062176
259,1996-11-03,Atlante,1,13,1561.1096143344607
260,1996-11-03,UAG,1,13,1469.7632906438648
261,1996-11-03,Santos,1,13,1549.9225725912784
262,1996-11-03,Pachuca,1,13,1465.824119856781
263,1996-11-03,Toros Neza,1,13,1470.8852896405685
264,1996-11-03,UNAM,1,13,1460.9634668058236
265,1996-11-08,UAG,1,14,1479.9808733252682
266,1996-11-08,Celaya,1,14,1467.1064978931058
267,1996-11-09,Puebla,1,14,1539.9288372089247
268,1996-11-09,Monterrey,1,14,1474.4191357513948
269,1996-11-09,Leon,1,14,1507.8261049659582
270,1996-11-09,Toros Neza,1,14,1482.267230916539
271,1996-11-09,Pachuca,1,14,1458.499904389487
272,1996-11-09,Atlante,1,14,1568.4338298017547
273,1996-11-09,Cruz Azul,1,14,1477.4357488583607
274,1996-11-09,Veracruz,1,14,1505.3426134672548
275,1996-11-10,Guadalajara,1,14,1536.0862148052051
276,1996-11-10,Necaxa,1,14,1520.8124445749659
277,1996-11-10,Morelia,1,14,1441.3161884398999
278,1996-11-10,Atlas,1,14,1530.254836248058
279,1996-11-10,UNAM,1,14,1463.469391587883
280,1996-11-10,Santos,1,14,1547.416647809219
281,1996-11-10,America,1,14,1473.2641136868087
282,1996-11-10,Toluca,1,14,1526.1393862699124
283,1996-11-13,Necaxa,1,15,1519.5704094446282
284,1996-11-13,Cruz Azul,1,15,1478.6777839886984
285,1996-11-13,Monterrey,1,15,1484.5792017544152
286,1996-11-13,UAG,1,15,1469.820807322248
287,1996-11-13,Santos,1,15,1558.0208341430023
288,1996-11-13,Atlante,1,15,1557.8296434679714
289,1996-11-13,Veracruz,1,15,1496.3348097359783
290,1996-11-13,Puebla,1,15,1548.9366409402012
291,1996-11-13,Atlas,1,15,1530.4226610560656
292,1996-11-13,Guadalajara,1,15,1535.9183899971974
293,1996-11-14,Toluca,1,15,1533.7453556225728
294,1996-11-14,Morelia,1,15,1433.7102190872395
295,1996-11-14,Celaya,1,15,1476.8588308767478
296,1996-11-14,Pachuca,1,15,1448.747571405845
297,1996-11-14,Toros Neza,1,15,1492.0081583577964
298,1996-11-14,America,1,15,1463.5231862455512
299,1996-11-14,UNAM,1,15,1474.7391889556584
300,1996-11-14,Leon,1,15,1496.5563075981827
301,1996-11-16,UAG,1,16,1480.582463667029
302,1996-11-16,Veracruz,1,16,1485.5731533911971
303,1996-11-16,Puebla,1,16,1538.0934199183835
304,1996-11-16,Necaxa,1,16,1530.413630466446
305,1996-11-16,Cruz Azul,1,16,1490.1562063134281
306,1996-11-16,Atlas,1,16,1518.9442387313359
307,1996-11-17,Pachuca,1,16,1449.775247703329
308,1996-11-17,Monterrey,1,16,1483.5515254569314
309,1996-11-17,Leon,1,16,1508.3071713762656
310,1996-11-17,Santos,1,16,1546.2699703649193
311,1996-11-17,Guadalajara,1,16,1545.8558458557745
312,1996-11-17,Toluca,1,16,1523.8078997639957
313,1996-11-17,Morelia,1,16,1445.3725963743507
314,1996-11-17,Toros Neza,1,16,1480.3457810706852
315,1996-11-17,America,1,16,1463.845896657837
316,1996-11-17,UNAM,1,16,1474.4164785433725
317,1996-11-18,Atlante,1,16,1565.540412288524
318,1996-11-18,Celaya,1,16,1469.1480620561952
319,1996-11-23,Monterrey,1,17,1475.8685048530394
320,1996-11-23,Atlante,1,17,1573.223432892416
321,1996-11-23,Veracruz,1,17,1474.5464375255876
322,1996-11-23,Pachuca,1,17,1460.8019635689384
323,1996-11-23,Celaya,1,17,1461.3320558195003
324,1996-11-23,Santos,1,17,1554.0859766016142
325,1996-11-23,Necaxa,1,17,1538.9891285910858
326,1996-11-23,UAG,1,17,1472.0069655423893
327,1996-11-24,Atlas,1,17,1519.4948390550737
328,1996-11-24,Puebla,1,17,1537.5428195946456
329,1996-11-24,Toros Neza,1,17,1492.2092805832758
330,1996-11-24,Guadalajara,1,17,1533.992346343184
331,1996-11-24,UNAM,1,17,1483.5824702307773
332,1996-11-24,Morelia,1,17,1436.2066046869459
333,1996-11-24,Leon,1,17,1507.0344131294498
334,1996-11-24,America,1,17,1465.1186549046529
335,1996-11-24,Toluca,1,17,1532.842343687002
336,1996-11-24,Cruz Azul,1,17,1481.1217623904217
337,1996-11-27,Leon,1,88,1496.6079702972308
338,1996-11-27,Toros Neza,1,88,1502.6357234154948
339,1996-11-27,Monterrey,1,88,1467.1176136819108
340,1996-11-27,Atlas,1,88,1528.2457302262023
341,1996-11-30,Atlas,1,88,1516.5042538705848
342,1996-11-30,Monterrey,1,88,1478.8590900375284
343,1996-12-01,Toros Neza,1,88,1512.4622481394013
344,1996-12-01,Leon,1,88,1486.7814455733244
345,1996-12-04,Toros Neza,1,18,1524.1934817611611
346,1996-12-04,Atlante,1,18,1561.492199270656
347,1996-12-04,Necaxa,1,18,1548.845319552089
348,1996-12-04,Guadalajara,1,18,1524.1361553821807
349,1996-12-04,Toluca,1,18,1522.977626005222
350,1996-12-04,Puebla,1,18,1547.4075372764257
351,1996-12-04,Atlas,1,18,1517.58174368332
352,1996-12-04,Santos,1,18,1553.008486788879
353,1996-12-07,Puebla,1,18,1546.7055444550251
354,1996-12-07,Toluca,1,18,1523.6796188266226
355,1996-12-07,Atlante,1,18,1550.422761139371
356,1996-12-07,Toros Neza,1,18,1535.2629198924462
357,1996-12-08,Guadalajara,1,18,1534.8461456866082
358,1996-12-08,Necaxa,1,18,1538.1353292476615
359,1996-12-08,Santos,1,18,1561.9923423831287
360,1996-12-08,Atlas,1,18,1508.5978880890702
361,1996-12-11,Toros Neza,1,19,1526.03074026443
362,1996-12-11,Santos,1,19,1571.224522011145
363,1996-12-11,Necaxa,1,19,1548.3819498520268
364,1996-12-11,Puebla,1,19,1536.4589238506599
365,1996-12-15,Puebla,1,19,1526.8019614734621
366,1996-12-15,Necaxa,1,19,1558.0389122292245
367,1996-12-15,Santos,1,19,1579.9310276426875
368,1996-12-15,Toros Neza,1,19,1517.3242346328875
369,1996-12-19,Necaxa,1,20,1568.6681853743005
370,1996-12-19,Santos,1,20,1569.3017544976115
371,1996-12-22,Santos,1,20,1579.2835189325908
372,1996-12-22,Necaxa,1,20,1558.6864209393211
373,1997-01-11,Necaxa,2,1,1565.9413281072839
374,1997-01-11,Pachuca,2,1,1453.5470564009756
375,1997-01-11,Leon,2,1,1485.3359798058177
376,1997-01-11,Morelia,2,1,1437.6520704544525
377,1997-01-11,Atlas,2,1,1517.5485933012183
378,1997-01-11,UAG,2,1,1463.0562603302412
379,1997-01-11,Veracruz,2,1,1486.6962638957416
380,1997-01-11,Atlante,2,1,1538.272934769217
381,1997-01-11,Toluca,2,1,1523.7694846527802
382,1997-01-11,Puebla,2,1,1526.7120956473045
383,1997-01-11,Monterrey,2,1,1488.3550489442166
384,1997-01-11,Celaya,2,1,1451.836096912812
385,1997-01-12,UNAM,2,1,1495.0473424199413
386,1997-01-12,Guadalajara,2,1,1523.3812734974442
387,1997-01-13,America,2,1,1478.2912135261245
388,1997-01-13,Santos,2,1,1566.1109603111192
389,1997-02-05,Toros Neza,2,1,1506.2859985368173
390,1997-02-05,Cruz Azul,2,1,1492.159998486492
391,1997-01-18,Celaya,2,2,1452.8360996680974
392,1997-01-18,Veracruz,2,2,1485.6962611404563
393,1997-01-18,Puebla,2,2,1526.1248617264812
394,1997-01-18,Toros Neza,2,2,1506.8732324576406
395,1997-01-19,Pachuca,2,2,1465.3686110950912
396,1997-01-19,Atlas,2,2,1505.7270386071027
397,1997-01-19,Santos,2,2,1553.909595817011
398,1997-01-19,Monterrey,2,2,1500.5564134383249
399,1997-01-19,Morelia,2,2,1438.8164536024176
400,1997-01-19,America,2,2,1477.1268303781594
401,1997-01-28,Atlante,2,2,1539.0676159255706
402,1997-01-28,Necaxa,2,2,1565.1466469509303
403,1997-01-29,Cruz Azul,2,2,1482.2431010121281
404,1997-01-29,UNAM,2,2,1504.9642398943051
405,1997-01-29,UAG,2,2,1464.7861548811518
406,1997-01-29,Toluca,2,2,1522.0395901018696
407,1997-01-30,Guadalajara,2,2,1522.290597849422
408,1997-01-30,Leon,2,2,1486.4266554538399
409,1997-01-24,UNAM,2,3,1505.572539584873
410,1997-01-24,Puebla,2,3,1525.5165620359132
411,1997-01-25,Necaxa,2,3,1572.0221688986671
412,1997-01-25,Celaya,2,3,1445.9605777203606
